Station (alphabetical by borough),2010,2011,2012,2013,2014,2015,2014-2015 Change,,2015 Rank
Cathedral Pkwy-110 St  ,6597,6742,6933,7117,7253,7490,+237,+3.3%,209
Central Park North-110 St  ,8098,8472,8751,9130,9559,9865,+306,+3.2%,165
Chambers St   ,21619,22683,23151,23147,23862,23997,+135,+0.6%,59
Chambers St  /WTC /Park Place  ,50671,53178,53589,53426,55683,57616,+1933,+3.5%,14
Christopher St-Sheridan Sq ,10005,10077,10068,10076,10060,9898,-162,-1.6%,164
City Hall ,9840,8954,7330,5666,4344,6310,+1966,+45.3%,249
Cortlandt St ,0,0,0,0,0,0, , , 
Cortlandt St ,3361,4745,6393,5497,5393,8549,+3156,+58.5%,187
Delancey St/Essex St   ,20798,22127,22846,23691,24154,24902,+748,+3.1%,52
Dyckman St ,7092,4025,3795,6564,7112,7233,+121,+1.7%,218
Dyckman St ,5935,7088,7375,6557,6687,6831,+144,+2.2%,234
East Broadway ,12779,12993,13052,13276,13720,14228,+508,+3.7%,109
Franklin St ,5804,5998,5931,5825,5867,5825,-42,-0.7%,267
Fulton St        ,64287,63203,62779,64461,69444,74676,+5232,+7.5%,7
Grand Central-42 St     ,144350,147644,150266,153861,157899,160294,+2395,+1.5%,2
Grand St  ,23304,23284,23406,23770,24153,24281,+128,+0.5%,58
Harlem-148 St  ,3277,3553,3616,3790,3952,4096,+144,+3.6%,331
Houston St ,13908,14814,15247,15736,15878,15286,-592,-3.7%,100
Inwood-207 St ,8202,8888,8717,8866,9136,9317,+181,+2.0%,178
Lexington Av   /59 St   ,63138,65855,67478,67841,69332,68988,-344,-0.5%,10
Lexington Av-53 St  /51 St ,62774,66045,67821,69973,70606,70686,+80,+0.1%,9
Lexington Av-63 St ,15816,15616,15639,15404,15493,16098,+605,+3.9%,90
Marble Hill-225 St ,5570,4758,5380,5456,5766,5732,-34,-0.6%,274
Prince St  ,14826,16223,16344,15261,15404,15597,+193,+1.3%,98
Rector St ,8165,8902,10065,11323,10869,10625,-244,-2.2%,151
Rector St ,8588,8083,6912,5362,4127,6157,+2030,+49.2%,257
Roosevelt Island ,7870,6576,6430,6321,5998,6197,+199,+3.3%,255
South Ferry/Whitehall St ,29014,29583,26576,20405,23017,28809,+5792,+25.2%,38
Spring St ,11132,11729,12153,12257,12327,11543,-784,-6.4%,141
Spring St  ,11249,12097,12604,13136,13319,12914,-405,-3.0%,125
Times Sq-42 St,182170,189426,195464,197696,204908,206247,+1339,+0.7%,1
Wall St  ,25371,25559,25682,26706,28075,27242,-833,-3.0%,43
Wall St  ,22551,22986,23992,25078,25619,23595,-2024,-7.9%,61
West 4 St-Washington Sq       ,37175,37873,39157,40798,41968,42760,+792,+1.9%,21
